Scholarship_Name,Scholarship_Type,Country,Funding_Level,Funding_Details,Application_Mode,Application_Month,Start_Date,End_Date,Quantity,For_Vietnamese,Eligibility,Eligible_Applicants,Field_Restriction,Danh_Sách_Nhóm_Ngành,Eligible_Fields,Required_Degree,Min_Gpa,Bachelor_Ranking_Requirement,Bachelor_Field_Relevance,Experience_Years,Min_Working_Hours,Language_Certificate,Academic_Certificate,Awards_Requirement,Publication_Requirement,Age,Gender,Special_Circumstances,Career_Plan,Other_Requirements,Scholarship_Info,Application_Documents,Timeline,Url
Paris-Saclay IDEX Master’s Scholarship,Trường,Pháp,"Toàn phần, Sinh hoạt phí, Chi phí khác","10,000€/năm trong 10 tháng + tối đa 900–1,000€ cho chi phí visa và đi lại",Thường niên,1,,2025-05-05 00:00:00,,True,Có,"Sinh viên quốc tế, lần đầu học tại Pháp, dưới 30 tuổi, không có khoảng trống học tập quá 3 năm, chưa nhận học bổng khác >600€/tháng",Có,All academic disciplines,"All fields: All Master's programs accredited by Université Paris-Saclay, except vocational training. Examples: Science: Physics, Chemistry; Engineering: Electrical Engineering; Social Sciences: Economics","Bằng Cử nhân, Tương đương bằng Cử nhân",0.0,Không,Không yêu cầu chặt chẽ,0.0,0.0,Tiếng Anh,Không bắt buộc,"Thành tích học tập tốt, Có",Không,Tôi đa 30 tuổi,Không yêu cầu,"ó chính sách cộng điểm cho sinh viên tị nạn hoặc được bảo vệ phụ trợ (phối hợp với UNHCR, MEnS)","Khuyến khích định hướng nghiên cứu, đặc biệt mong muốn học lên tiến sĩ tại Paris-Saclay (đối với M2)",Cam kết học tập nghiêm túc,"Học bổng IDEX Master’s tại Đại học Paris-Saclay (Pháp) cấp hỗ trợ tài chính cho sinh viên quốc tế theo học chương trình thạc sĩ tại các lĩnh vực học thuật đa dạng, với mục tiêu thu hút nhân tài quốc tế đến với trường.","Đơn nhập học Master tại Université Paris-Saclay
Link ứng tuyển học bổng (gửi riêng qua email cho ứng viên được chọn)
01 referee (giảng viên/nhà nghiên cứu) cung cấp thư giới thiệu trực tiếp qua form online
Statement of purpose (nêu rõ nếu là sinh viên tị nạn, hoàn cảnh đặc biệt, định hướng nghiên cứu/PhD)","05/05/2025: Deadline nomination từ chương trình Master
09/05/2025: Deadline nộp đơn học bổng
12/05/2025: Deadline referee nộp thư giới thiệu
Cuối 6/2025: Công bố kết quả",https://www.universite-paris-saclay.fr/node/253576
SI Scholarship for Global Professionals (Swedish Institute Scholarship for Global Professionals / SISGP),Chính phủ,Thụy Điển,"Toàn phần, Sinh hoạt phí, Chi phí khác","Chi trả 100% học phí; trợ cấp sinh hoạt SEK 12,000/tháng; trợ cấp đi lại (SEK 15,000 thông thường; SEK 10,000 cho một số nước); không bao gồm bảo hiểm",Thường niên,10,2025-02-10 00:00:00,,,True,Có,"Công dân của 33 nước đủ điều kiện (phải chịu phí học phí, tức là liable to pay tuition fees), không được là người đã có/đang học/đã tốt nghiệp ở Thụy Điển (điều kiện loại trừ cụ thể nêu trong nội dung)",Có,"Sustainable Development, Social Sciences, Technology, Business, Human Rights","Sustainable Development: Environmental Science, Public Health; Human Rights: International Human Rights Law; Technology: Computer Science, Sustainable Energy Engineering; Social Sciences: Global Studies, Gender Studies",Bằng Cử nhân,0.0,Không,Không đề cập,0.0,3000.0,Tiếng Anh,Không bắt buộc,"Thành tích học tập tốt, Có",Không,Không yêu cầu,Không yêu cầu,"bonus system cho sinh viên tị nạn/được bảo vệ được nêu cho Paris-Saclay, và SI có chính sách hỗ trợ/đặc thù cho một số trường hợp; trong nội dung SI có nêu những ngoại lệ cho người Ukraine; nói chung có quy định ưu tiên hoặc hỗ trợ cho một số nhóm đặc biệt. (Nội dung chi tiết phụ thuộc vào từng đợt công bố.)",Ứng viên nên nêu rõ cách học của họ sẽ góp phần vào phát triển bền vững của nước/region (mục tiêu SI là phát triển mạng lưới nhà lãnh đạo cam kết thực hiện SDG tại nước mình).,Lãnh đạo,Học bổng SI dành cho Chuyên gia Toàn cầu là học bổng học thuật cho chương trình Thạc sĩ toàn thời gian 1 hoặc 2 năm ở các trường ĐH Thụy Điển. Học bổng chi trả cho nhiều ngành học trong các chương trình Thạc sĩ giảng dạy bằng tiếng Anh.,"Đã nộp (và được nhận / conditionally admitted) vào chương trình Master đủ điều kiện qua University Admissions.
Bằng/bản sao bằng cử nhân, bảng điểm.
Chứng minh kinh nghiệm làm việc (theo mẫu của SI).
Chứng minh kinh nghiệm lãnh đạo (CV, mô tả vai trò).
Các tài liệu khác theo hướng dẫn khi cổng SI mở (thông tin đầy đủ được công bố trên trang SI khi mở call).","Tháng 10/2025 – Tháng 01/2026: Nộp hồ sơ chương trình thạc sĩ (qua University Admissions).
Tháng 11/2025: Công bố danh sách chương trình đủ điều kiện & tài liệu học bổng SI.
Tháng 02/2026: Mở cổng nộp đơn học bổng SI (trong 2 tuần).
Tháng 03/2026: Công bố kết quả tuyển sinh đại học.
Tháng 04/2026: Công bố kết quả học bổng SI.",https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals/
Pioneering Women in STEM,Chính phủ,Thụy Điển,"Toàn phần, Sinh hoạt phí, Chi phí khác","100% học phí; trợ cấp sinh hoạt SEK 12,000/tháng; trợ cấp đi lại SEK 15,000; bảo hiểm (nội dung mô tả có đề cập “bảo hiểm” trong tóm tắt)",Thường niên,10,,,,True,Có,"Dành cho nữ công dân của 10 quốc gia (Bangladesh, Indonesia, Kenya, Malaysia, Nigeria, Philippines, Rwanda, South Africa, Thailand, Vietnam). Không được là người đã có/đang học/đã tốt nghiệp ở Thụy Điển hoặc đã nhận SI scholarship trước đó. Không được là người đã nhận SI scholarship trước đó; không cư trú Thụy Điển >2 năm; phải nộp hồ sơ qua University Admissions và được nhận vào chương trình đủ điều kiện.",Có,STEM,"Varies: This is a category, not a single scholarship. Programs depend on the specific scholarship, e.g., British Council Women in STEM: AI, Health Sciences, Energy Transition","Bằng Cử nhân, Tương đương bằng Cử nhân",0.0,Không,Không đề cập,0.0,0.0,Tiếng Anh,Không bắt buộc,Không,Không,Không yêu cầu,Chỉ nữ,Không,"Học bổng nhắm tới phát triển nữ lãnh đạo trong STEM, đóng góp cho SDG và giải quyết thách thức ở nước sở tại — ứng viên nên trình bày mục tiêu đóng góp xã hội/nghề nghiệp.",,Học bổng SI Pioneering Women in STEM là học bổng học thuật toàn phần dành cho chương trình Thạc sĩ toàn thời gian 1 hoặc 2 năm trong các chương trình STEM được chỉ định tại Thụy Điển.,"Đơn apply chương trình Master qua University Admissions và được nhận vào chương trình đủ điều kiện.
Tài liệu theo hướng dẫn khi cổng SI mở (nội dung chi tiết sẽ được công bố vào thời điểm call open).","Tháng 10/2025 – Tháng 01/2026: Nộp hồ sơ chương trình thạc sĩ (qua University Admissions).
Tháng 11/2025: Công bố các chương trình đủ điều kiện và tài liệu học bổng SI.
Tháng 02/2026: Cổng nộp đơn học bổng SI mở (trong 2 tuần).
Tháng 03/2026: Công bố kết quả tuyển sinh đại học.
Tháng 04/2026: Công bố kết quả học bổng SI.",https://si.se/en/apply/scholarships/pioneeringwomeninstem/
IKEA and Södra Scholarship (The Bridge collaboration — Linnaeus University),"""Quỹ, tổ chức""",Thụy Điển,"Toàn phần, Sinh hoạt phí","100% học phí; trợ cấp sinh hoạt 10,584 SEK/tháng",Thường niên,2,2025-05-01 00:00:00,2025-02-12 19:00:00,4,True,Có,"phải nộp chương trình Innovation through Business, Engineering and Design hoặc Forestry for Green Sustainable Development và chọn Linnaeus University làm first choice qua www.universityadmissions.se
; phải nộp hồ sơ chương trình trước 15 Jan và upload tài liệu trước 3 Feb; phải trả application fee trước 3 Feb.",Có,"Forestry, Logistics, Innovation, Sustainability",Forestry and Wood Technology: Forestry for Green and Sustainable Development,Bằng Cử nhân,0.0,Không,Không yêu cầu chặt chẽ,0.0,0.0,Tiếng Anh,Không bắt buộc,Không,Không,Không yêu cầu,Không yêu cầu,Không,,,"Học bổng IKEA và Södra trao bốn suất mỗi năm cho các chương trình thạc sĩ Innovation through Business, Engineering and Design hoặc Forestry for Green Sustainable Development. Học bổng mở cho tất cả sinh viên, cả trong và ngoài EU/EEA, đều có thể nộp đơn.","Đã apply chương trình Master (Innovation through Business, Engineering and Design hoặc Forestry for Green Sustainable Development) và chọn Linnaeus University là first choice trên www.universityadmissions.se trước 15/01.
Nộp/upload tất cả tài liệu yêu cầu trước 03/02 và đã đóng application fee trước 03/02.
Điền form ứng tuyển học bổng (link được gửi qua email vào 05/02 cho các ứng viên phù hợp).
Các tài liệu nộp cho học bổng bao gồm: Curriculum Vitae; Motivation letter (max 600 words) trả lời 5 câu hỏi do IKEA đưa ra (những câu hỏi có trong mô tả).","Trước 15/01/2025: Nộp hồ sơ chương trình (chọn Linnaeus là nguyện vọng 1).
Trước 03/02/2025: Tải lên tất cả tài liệu yêu cầu và thanh toán phí đăng ký.
05/02/2025: Mở đơn học bổng (có email thông báo).
12/02/2025, 13:00 CET = 12/02/2025, 19:00 giờ Việt Nam: Đóng đơn học bổng.
Giữa hoặc cuối tháng 4/2025: Công bố kết quả học bổng.",https://lnu.se/en/education/the-bridge/
Brunel University – British Council Women in STEM Scholarship,"""Quỹ, tổ chức""",Anh,"Toàn phần, Sinh hoạt phí, Chi phí khác","học phí, sinh hoạt phí, vé máy bay, thị thực, bảo hiểm y tế, hoàn phí IELTS cho ứng viên trúng tuyển",Thường niên,2,,2025-04-23 05:59:59,,True,Có,"Chỉ dành cho nữ giới, là công dân ASEAN hoặc Timor Leste",Có,"Health and Life Sciences, Technology, Engineering",Health and Life Sciences: Public Health and Health Promotion MSc; Technology: Artificial Intelligence MSc; Engineering: Renewable Energy Engineering MSc,"Bằng Cử nhân, Sắp tốt nghiệp",0.0,Không,Không yêu cầu chặt chẽ,0.0,0.0,Tiếng Anh,Không bắt buộc,Không,Không,Không yêu cầu,Chỉ nữ,Có hỗ trợ cho phụ nữ có con nhỏ cần chăm sóc.,Hướng tới đóng góp giảm bất bình đẳng giới STEM,"Cam kết trở về, Hoạt động cộng đồng, Tầm nhìn, Lãnh đạo","Học bổng khối ngành STEM dành cho nữ giới của Hội đồng Anh: Hợp tác với các trường đại học tại Vương quốc Anh, học bổng này được thiết kế để giải quyết bất bình đẳng giới trong khối STEM bằng việc trao cơ hội cho nữ giới theo học một chương trình Thạc sĩ. Đây là năm thứ năm triển khai, với hơn 400 suất đã được trao.","Nộp đơn trực tiếp tại website Brunel University; hồ sơ gồm đơn apply ngành học, chứng chỉ IELTS, hồ sơ học tập, CV, thư động lực.",18/2/2025 - 23/4/2025: mở đơn online,https://www.britishcouncil.vn/en/study-uk/scholarships-financial-support/british-council-scholarships-women-stem
Hornby Trust Scholarship (University of Exeter),"""Quỹ, tổ chức""",Anh,"Toàn phần, Sinh hoạt phí, Chi phí khác","100% học phí ~ £22,500, sinh hoạt phí tối thiểu £15,500/năm, chi phí đi lại quốc tế khứ hồi",Thường niên,12,,2025-02-27 06:59:59,10,True,Có,phải là công dân và đang làm việc tại quốc gia thuộc OECD DAC list (low & middle income countries,Có,Education,Education: MA TESOL (Teaching English to Speakers of Other Languages),"Bằng Cử nhân, Bằng thạc sĩ liên quan",3.0,Không,Không yêu cầu chặt chẽ,3.0,0.0,Tiếng Anh,Không bắt buộc,Không,Không,Không yêu cầu,Không yêu cầu,,mong đợi ứng viên quay về và đóng góp phát triển giảng dạy tiếng Anh ở nước nhà,"Lãnh đạo, Cam kết trở về, Đóng góp phát triển","Học bổng Hornby Trust tập trung vào việc nâng cao năng lực giảng dạy tiếng Anh tại các quốc gia có thu nhập thấp và trung bình. Học bổng bao gồm toàn bộ học phí, trợ cấp sinh hoạt ít nhất £15,500 để chi trả nhà ở và sinh hoạt, cùng chi phí đi lại quốc tế khứ hồi. Có tối đa 10 suất học bổng toàn phần dành cho các ứng viên đáp ứng tiêu chí đầu vào chương trình MEd TESOL của University of Exeter (kỳ nhập học tháng 9/2025). Ứng viên phải là công dân và đang làm việc tại quốc gia thuộc danh sách thu nhập thấp/trung bình theo OECD DAC, đồng thời có ít nhất 3 năm kinh nghiệm giảng dạy TESOL hoặc công việc chuyên môn liên quan toàn thời gian sau khi tốt nghiệp đại học.","Đơn nhập học chương trình MEd TESOL tại University of Exeter (để lấy Exeter student number).
Bằng cử nhân hoặc bằng thạc sĩ (có bảng điểm).
Minh chứng ít nhất 3 năm kinh nghiệm giảng dạy TESOL hoặc công việc liên quan.
Hồ sơ xin học bổng Hornby (nộp online qua tài khoản sau khi có Exeter student number).
Minh chứng tiếng Anh đáp ứng điều kiện đầu vào Exeter (IELTS/TOEFL hoặc tương đương).
CV, thư động lực (có thể yêu cầu – KHÔNG CÓ THÔNG TIN chính thức trong bài).","Hạn cuối nộp đơn: 27/02/2025, 06:59 giờ Việt Nam.
Thông báo shortlist phỏng vấn: chậm nhất 18/04/2025.
Phỏng vấn: từ 28/04/2025 đến 14/05/2025.
Kết quả học bổng: chậm nhất 22/05/2025.",https://www.hornby-trust.org.uk/scholarships/
Japanese Grant Aid for Human Resource Development Scholarship (JDS),Chính phủ,Nhật Bản,"Toàn phần, Sinh hoạt phí, Chi phí khác","học phí, vé máy bay khứ hồi, sinh hoạt phí, trợ cấp ban đầu, hỗ trợ nhà ở, chi phí hội thảo, vận chuyển đồ đạc sau khi học xong…",Thường niên,1,2025-01-01 00:00:00,2025-03-19 17:00:00,45,True,Có,"cán bộ, công chức, viên chức, giảng viên các trường ĐH, CĐ công lập, doanh nghiệp 100% vốn nhà nước",Có,"Public Policy, Economics, Business, Law, Public Administration","Public Policy: Public Administration, International Relations; Economics: Macroeconomics, Public Finance; Law: International Law; Business: Business Management",Bằng Cử nhân,0.0,Không,Yêu cầu chặt chẽ,1.0,0.0,"Tiếng Anh, IELTS >= 5.5, TOEFL iBT >= 46, TOEFL ITP 500",Không bắt buộc,Không,Không,Từ 24 đến 39 tuổi,Không yêu cầu,,cam kết trở về phục vụ cơ quan cử đi hoặc theo yêu cầu của Nhà nước,"Lãnh đạo, Cam kết trở về, Đóng góp phát triển",Chính phủ Nhật Bản cấp viện trợ không hoàn lại để thực hiện Chương trình Học bổng Phát triển nguồn nhân lực Việt Nam – Nhật Bản (JDS) cho đi học thạc sĩ tại Nhật Bản niên khóa 2025–2027.,"Hồ sơ đăng ký tải tại website chính thức JDS: http://jds-scholarship.org hoặc link: https://jice.form.kintoneapp.com/public/jdsvietnam-apply 
Bản đăng ký dự tuyển (Application Form)
Công văn cử đi dự tuyển của cơ quan quản lý trực tiếp
Bằng tốt nghiệp, bảng điểm đại học
Chứng chỉ tiếng Anh (TOEFL/IELTS còn hiệu lực)
CV, kinh nghiệm công tác, giấy xác nhận đóng BHXH
Các giấy tờ khác theo hướng dẫn (có trong bộ hồ sơ JDS trên website)","Trước 17:00 ngày 19/03/2025: Hạn nộp hồ sơ dự tuyển JDS
Đầu tháng 4/2025: Thi chứng chỉ IELTS quốc tế (cho ứng viên chưa có chứng chỉ đạt yêu cầu), kiểm tra toán đại số cơ bản
Giữa tháng 04/2025: Các trường đại học Nhật Bản xét chọn hồ sơ và phỏng vấn chuyên môn
Giữa tháng 05/2025: Ban điều hành học bổng phỏng vấn vòng cuối
Cuối tháng 06/2025: Công bố kết quả cuối cùng
Tháng 8/2025: Nhập học tại Nhật Bản",https://jds-scholarship.org/
MacSon Entrance Scholarship for International Students at the University of Guelph,Trường,Canada,Khoản phí quy định,"$17,500 CAD",Thường niên,6,,,2,True,Có,"ứng viên chương trình thạc sĩ toàn thời gian thuộc OAC – Ontario Agricultural College, nghiên cứu liên quan đến bảo tồn; ưu tiên sinh viên Indigenous, hoặc đến từ Eastern Ontario, hoặc không nhận OAC entrance awards khác",Có,"Agriculture, Food Science",Food Science: MSc in Food Science,Bằng Cử nhân,0.0,Không,Yêu cầu chặt chẽ,0.0,0.0,"Tùy khóa học, Tiếng Anh",Không bắt buộc,Không,Không,Không yêu cầu,Không yêu cầu,"ưu tiên sinh viên Indigenous: First Nations, Inuit, Métis",,,"Đại học Guelph đang mời nộp đơn cho Chương trình Học bổng Nhập học MacSon. Học bổng dành cho sinh viên nhập học bất kỳ chương trình sau đại học toàn thời gian nào tại Guelph trong năm học 2023/24. Học bổng nhằm hỗ trợ những sinh viên trong nước và quốc tế có năng lực cạnh tranh cao muốn theo học chương trình sau đại học toàn thời gian tại trường. Ứng viên thành công sẽ nhận được hai suất học bổng trị giá 17.500 USD, được chi trả trong ba học kỳ.","OAC Graduate Application Form
Indigenous Identity Confirmation (nếu có)
Bảng điểm chính thức
CV mới nhất
Hộ chiếu hợp lệ
Research Proposal
2 thư giới thiệu (referee assessments)",,https://www.uoguelph.ca/registrar/studentfinance/apps/awards?id=E0827
VLIR-UOS ICP Connect Scholarships,Chính phủ,Bỉ,"Toàn phần, Sinh hoạt phí, Chi phí khác","bao gồm học phí, sinh hoạt phí, bảo hiểm, chi phí đi lại cho toàn bộ thời gian học (12/24/36 tháng tùy chương trình)",Thường niên,10,,,,True,Có,"Ưu tiên ứng viên từ giáo dục đại học, chính phủ, hoặc xã hội dân sự; mới tốt nghiệp hoặc người trong khu vực tư cũng có thể nộp nếu hồ sơ thuyết phục. Mỗi ứng viên chỉ được nộp 1 học bổng ICP Connect/năm; không được nhận học bổng khác cùng lúc; chưa từng nhận học bổng chính phủ Bỉ trước đó; chưa từng học tại Bỉ trước 1/1 của năm nhập học",Không,"Development Studies, Sciences, Health, Engineering","Development: Globalization and Development, Development Evaluation and Management; Sciences: Marine and Lacustrine Science and Management (Oceans & Lakes); Health: Deglutology",Bằng Cử nhân,0.0,Không,Không yêu cầu chặt chẽ,0.0,0.0,Tiếng Anh,Không bắt buộc,"Không, Có sẽ được đánh giá rất cao",Không,Dưới 35 tuổi,Không yêu cầu,,,,"Học bổng VLIR-UOS ICP Connect của Bỉ cấp học bổng toàn phần cho sinh viên từ các quốc gia đang phát triển theo học các chương trình thạc sĩ quốc tế tại các trường đại học Flemish, tập trung vào các lĩnh vực liên quan đến phát triển bền vững.","Xác minh đủ điều kiện quốc tịch và nơi cư trú
Nộp đơn nhập học chương trình master tại trường Bỉ
Chỉ định ý định ứng tuyển học bổng ICP Connect trong quá trình nộp đơn",,https://www.vliruos.be/get-funded/study-scholarships
UNIL Master’s Grants 2024 – University of Lausanne,Trường,Thụy Sĩ,Khoản phí quy định,"CHF 1,600/tháng (từ 15/9 đến 15/7, tức 10 tháng/năm, cho toàn bộ thời gian học thạc sĩ 1.5–2 năm); miễn phí lệ phí ghi danh (trừ 80 CHF/kỳ).",Thường niên,11,,,10,True,Có,chỉ sinh viên tốt nghiệp từ đại học nước ngoài,Có,All academic disciplines,"All fields: All Master's programmes from UNIL, except Medicine, Education, and certain others. Examples: Law: Master of Law; Biology: MSc in Molecular Life Sciences; Economics: MSc in Economics",Bằng Cử nhân,3.6,Không,Yêu cầu chặt chẽ,0.0,0.0,"Tùy khóa học, Tiếng Anh, Tiếng Pháp",Không bắt buộc,Không,Không,Không yêu cầu,Không yêu cầu,,,,Học bổng UNIL Master’s Grants tại Đại học Lausanne (Thụy Sĩ) cung cấp hỗ trợ tài chính cạnh tranh cho sinh viên quốc tế muốn theo học chương trình thạc sĩ tại trường.,,,https://www.unil.ch/international/en/home/menuinst/etudiants-internationaux/etudiantes-internationaux-reguliers/bourses-master-de-lunil.html
Clarendon Fund Scholarships - University of Oxford,Trường,Anh,"Toàn phần, Sinh hoạt phí","Học phí toàn phần + trợ cấp sinh hoạt (~£18,622/năm)",Thường niên,12,2025-12-03 09:00:00,2025-01-08 16:00:00,140,True,Không,,Không,All academic disciplines,All fields: All degree-bearing graduate courses at the University of Oxford.,Bằng Cử nhân,0.0,Không,Yêu cầu chặt chẽ,0.0,0.0,Tiếng Anh,Không bắt buộc,Thành tích học tập tốt,Không,Không yêu cầu,Không yêu cầu,,,,Học bổng Clarendon Fund của Đại học Oxford (Anh) là học bổng toàn phần danh giá dành cho sinh viên quốc tế xuất sắc theo học chương trình thạc sĩ hoặc tiến sĩ tại Oxford.," KHÔNG CÓ đơn riêng; nếu nộp chương trình thạc sĩ/ DPhil đúng hạn, sẽ được tự động xét học bổng",Nộp đơn cho chương trình thạc sĩ/DPhil: 2/12/2025 – 8/1/2026,https://www.ox.ac.uk/clarendon
International Cultural Service Program (ICSP) Scholarship - University of Oregon,Trường,Hoa Kỳ,Bán phần,Gia hạn hằng năm đến khi hoàn thành bằng nếu đáp ứng yêu cầu ICSP.,Thường niên,1,2026-01-16 00:00:00,2026-02-14 07:00:00,,True,Có,"sinh viên quốc tế có nhu cầu tài chính, thành tích xuất sắc, không phải công dân/ thường trú nhân Hoa Kỳ và không đủ điều kiện nhận hỗ trợ tài chính liên bang Hoa Kỳ.",Không,All academic disciplines,All fields: Any major offered at the University of Oregon.,Bằng Cử nhân,3.0,Không,Yêu cầu chặt chẽ,0.0,0.0,Tiếng Anh,Không bắt buộc,"Không, Có sẽ được đánh giá rất cao",Không,Không yêu cầu,Không yêu cầu,,,"Hoạt động cộng đồng, Tư duy cộng đồng, Hoàn cảnh tài chính","Sinh viên quốc tế có nhu cầu tài chính và thành tích xuất sắc có thể đăng ký Học bổng Chương trình Dịch vụ Văn hóa Quốc tế (ICSP). Học bổng ICSP bao gồm một thành phần dịch vụ văn hóa, yêu cầu sinh viên thuyết trình về đất nước của mình cho trẻ em, tổ chức cộng đồng, sinh viên, giảng viên và nhân viên UO. Người nhận học bổng ICSP sẽ được miễn giảm một phần học phí, học bổng được gia hạn hằng năm cho đến khi hoàn thành bằng tại UO nếu đáp ứng các yêu cầu của chương trình.","Đơn nhập học vào University of Oregon (trước 15/01/2026)
Hồ sơ học bổng tại UO Scholarship Dashboard (Profile, ISSS Endowed Scholarships Application, ICSP Scholarship Application)
Thư giới thiệu (reference letters)
Bằng cấp, bảng điểm
Chứng minh tài chính
Tài liệu về hoạt động văn hóa, kỹ năng giao tiếp (nếu có)","Hạn nộp đơn nhập học UO: 16/01/2026
Hạn nộp học bổng ICSP: 14/02/2026, 07:00 sáng (VN time)",https://isss.uoregon.edu/icsp/application
Commonwealth Master’s Scholarships for Developing Commonwealth Countries,Chính phủ,Anh,"Toàn phần, Sinh hoạt phí, Chi phí khác, Trợ cấp học tập","vé máy bay khứ hồi, học phí, phí thi, trợ cấp sinh hoạt £1,378/tháng hoặc £1,690/tháng tại London, trợ cấp nghiên cứu, trợ cấp quần áo ấm, và các hỗ trợ khác",Thường niên,9,,2025-10-14 22:00:00,,False,Không,"chỉ dành cho các nước thuộc khối Commonwealth đủ điều kiện, Việt Nam không thuộc nhóm này",Không,"Science and technology for development, Strengthening health systems, Promoting global prosperity, Strengthening global peace, security and governance, Strengthening resilience","Science and technology for development: Renewable Energy Engineering; Strengthening health systems: Tropical Medicine, Public Health; Promoting global prosperity: International Trade & Finance; Strengthening resilience: Climate Change and Development",Bằng Cử nhân,3.6,Không,Yêu cầu chặt chẽ,0.0,0.0,"Tùy khóa học, Tiếng Anh",Không bắt buộc,Không,Không,Không yêu cầu,Không yêu cầu,Có thể xét công dân hoặc người có quy chế tị nạn tại quốc gia Commonwealth,,"Hoạt động cộng đồng, Tác động xã hội, Đóng góp phát triển, Tầm nhìn","Học bổng Commonwealth dành cho bậc Thạc sĩ hoặc Tiến sĩ tại Vương quốc Anh được trao cho công dân các quốc gia đang phát triển thuộc Khối Thịnh vượng chung. Học bổng do Bộ Ngoại giao, Khối thịnh vượng chung và Phát triển Vương quốc Anh (FCDO) tài trợ, nhằm đáp ứng nhu cầu phát triển của các quốc gia này thông qua việc hỗ trợ nghiên cứu có tác động phát triển.","Đơn ứng tuyển qua hệ thống CSC’s Electronic Application System (EAS)
Đơn ứng tuyển riêng theo yêu cầu của nominating body (tổ chức đề cử quốc gia hoặc NGO)
Bằng cấp, bảng điểm, giấy tờ chứng minh tình trạng công dân/tị nạn, thư giới thiệu, các tài liệu bổ sung theo yêu cầu","Hạn chót: 14/10/2025, 16:00 BST (22:00 giờ Việt Nam)
Các nominating body có thể có hạn riêng, ứng viên phải kiểm tra trực tiếp với họ",https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/
University of Geneva Excellence Masters Fellowships - University of Geneva,Trường,Thụy Sĩ,Khoản phí quy định,"10,000 – 15,000 CHF mỗi năm, học bổng cấp trong 1 năm và có thể gia hạn cho toàn bộ thời gian chương trình Thạc sĩ (3–4 học kỳ), nếu sinh viên đạt thành tích tốt sau học kỳ đầu tiên",Thường niên,1,,2026-03-01 05:59:59,,True,Có,Phải được nhận vào một chương trình Master of Science của Faculty of Sciences. Được chọn dựa trên hồ sơ xin học bổng Excellence Fellowship riêng,Có,"Science, Medicine, Humanities, Social Sciences, Law","Science: Astrophysics, Computer Science, Mathematics; Humanities: Russian and East Central European Studies; Social Sciences: Global Health, Socioeconomics","Bằng Cử nhân, Sắp tốt nghiệp",3.6,Không,Yêu cầu chặt chẽ,0.0,0.0,"Tiếng Pháp, Tiếng Anh",Không bắt buộc,"Không, Thành tích học tập tốt",Không,Không yêu cầu,Không yêu cầu,,,,"Học bổng Excellence Masters Fellowships của Đại học Geneva (Thụy Sĩ) hỗ trợ tài chính cho sinh viên quốc tế xuất sắc theo học các chương trình thạc sĩ tại trường, đặc biệt trong lĩnh vực khoa học.","Đăng ký nhập học chương trình Master (theo hướng dẫn trên website Admissions)
Nộp hồ sơ xin học bổng Excellence Fellowship riêng
Hồ sơ trực tuyến mở từ tháng 1","Mở đơn: Tháng 1/2026
Deadline: 28/02/2026
Khóa học bắt đầu: Tháng 9/2026",https://www.unige.ch/sciences/en/enseignements/formations/masters/excellencemasterfellowships/
Swiss Government Excellence Scholarships (Art scholarships – Master’s degree),Chính phủ,Thụy Sĩ,"Toàn phần, Sinh hoạt phí, Chi phí khác","trợ cấp hàng tháng, miễn học phí, bảo hiểm y tế, hỗ trợ vé máy bay, phụ cấp nhà ở",Thường niên,8,2025-08-04 00:00:00,2025-09-15 00:00:00,,True,Có,"chỉ dành cho ứng viên muốn học Master về lĩnh vực nghệ thuật, phải có giáo sư/giảng viên ở Thụy Sĩ đồng ý hướng dẫn nghiên cứu/đề án (điều kiện tiên quyết khi nộp hồ sơ).",Có,Arts,"Arts: Master's degree in Music, Design, Fine Arts, Theatre, Dance at any Swiss conservatory or university of the arts.",Bằng Cử nhân,0.0,Không,Yêu cầu chặt chẽ,0.0,0.0,"Tiếng Anh, Tùy khóa học",Không bắt buộc,Không,Không,Không yêu cầu,Không yêu cầu,,,,Học bổng nghệ thuật mở cho sinh viên mong muốn theo học chương trình thạc sĩ đầu tiên trong lĩnh vực nghệ thuật tại Thụy Sĩ. Học bổng này chỉ dành cho sinh viên từ một số quốc gia nhất định.,"Phải có giảng viên/học thuật ở Thụy Sĩ đồng ý hướng dẫn.
Các biểu mẫu, tài liệu cụ thể sẽ được cung cấp trong country-specific fact sheet.","Mở đơn: 4/8/2025
Hạn nộp: tùy từng khu vực (ví dụ: Châu Âu 4/8/2025, Bắc Mỹ 27/8/2025, Châu Á 15/9/2025, Nam Mỹ 4/8/2025, …).",https://www.sbfi.admin.ch/en/swiss-government-excellence-scholarships
