Scholarship_Name,Scholarship_Organization,Scholarship_Type,Funding_level,Sponsorship Details,Application form,Application opening month (annual),Application start date,Application deadline,Scholarship slots,For Vietnamese students,Object limitation,List of restricted subjects (if any),Department restrictions,List of specific industries/groups,Required qualifications,Minimum GPA,Ranking requirements / field of study,Required experience,Competencies & Achievements (requirements.competencies),Scholarship renewal conditions,Required documents,Application process,Scholarship link (URL),Notes ,Annual (Yes/No/Unknown),,,,
Marshall Scholarship (UK),Marshall Aid Commemoration Commission,Government,Full cost: tuition + living expenses + airfare + equipment,**For US citizens only** study Master's/PhD in UK,Online application + nomination,5–9,According to call,According to call,~40–50/year,,US citizens only,—,,All subjects at UK universities,Bachelor's degree (or equivalent),Not stated,High GPA; Excellent Profile; Leadership,—,Academics & Leadership,According to study duration,Application + reference + regional interview,Submit online → Marshall Council review,https://www.marshallscholarship.org/,Not suitable for Vietnamese candidates,yes,,,,
MOFCOM Scholarship (China),Ministry of Commerce of the PRC,Government,Full: tuition + living expenses + accommodation + insurance + airfare,For officials/officers or candidates from developing countries; Master at Chinese University (multi-disciplinary English program),Application via Embassy/Nominating Unit + Portal,1–5,According to call,According to call,Not published yet,yes,Citizens of developing countries (including Vietnam),—,yes,According to MOFCOM program list,Bachelor's degree (or equivalent),Not stated,As requested by MOFCOM/DH,Public work experience (preferred),Academic & Public Service Competence,According to the regulations,Application + agency nomination + academic records,Submit via Embassy/Unit → MOFCOM review,https://www.china-aibo.cn/portal/article/index/cid/23.html,Priority for civil servants/officials,yes,,,,
Heinrich Böll Foundation Scholarships,Heinrich Böll Stiftung (Germany),Foundation / Organization,Monthly living allowance + tuition support (if any),For Masters in **Germany** (all nationalities); green – democracy – human rights values ​​required; good **German** is often required,Online application,1–3 & 9–10,According to call,According to call,Not published yet,yes,All nationalities; study at university in Germany,—,,All Master's majors,Bachelor's degree (or equivalent),Not stated,Academic achievements; social activities,Social/political activities,Values ​​& Commitments,According to the regulations,Application + essay + language certificate,Online → interview,https://www.boell.de/en/foundation/scholarships,German language proficiency (B2/C1) is usually required,yes,,,,
Konrad Adenauer Stiftung (KAS) Scholarship,Konrad-Adenauer-Stiftung (Germany),Foundation / Organization,Monthly stipend + academic support; limited tuition assistance available,For international Master's students in Germany; requires **German B2** and social/political activity,Online application + interview,1–7 (depending on the office),According to call,According to call,Not published yet,yes,All nationalities; target area priority,—,,All Master's programs at German universities,Bachelor's degree (or equivalent),Not stated,Good performance; leadership; German B2,Social experience/activities,Democratic values,rule of law,By lock duration,Application + essay + language certificate,Online → interview,https://www.kas.de/en/web/begabtenfoerderung-und-kultur,German is required,Có,,,
Frank Knox Memorial Fellowship (Harvard University),Harvard University,University,Full tuition + stipend + mandatory fees,"**Citizens Only**: UK, Canada, Australia, New Zealand (and sometimes some partner universities) for graduate study at Harvard",Application through nominating body/country,10–1,According to call,According to call,Not published yet,,Not for Vietnamese citizens,List of eligible nationalities,,According to the graduate program at Harvard,Bachelor's degree (or equivalent),Not stated,Outstanding academic & leadership record,—,Academics & Leadership,By lock duration,Application + nomination + Harvard profile,Submit through nominating agency → Harvard review,https://grad.fas.harvard.edu/ggsas/programs-of-study/financial-aid/frank-knox-memorial-fellowship,Nationality restrictions,yes,,,,
MAEC-AECID Scholarship (Spain),AECID – Spanish Agency for International Development Cooperation,Government,Tuition/living/housing support (level according to **call** each year),**Becas MAEC-AECID** streams for foreign citizens to study a **Master** in Spain; priority given to the fields of development/culture/international relations,AECID Gate,3–5,According to call,According to call,Not published yet,yes,By priority country list & program,List of AECID countries,Limited,According to the program list,Bachelor's degree (or equivalent),Not stated,As per school/AECID requirements,Experience (preferred),Academics & Development,According to the regulations,Application + documents according to form,Submit to AECID portal → review,https://www.aecid.es/,Annual call check,yes,,,,
Mandela Rhodes Scholarship,The Mandela Rhodes Foundation (South Africa),Foundation / Organization,Tuition + accommodation + living expenses + research fees + leadership,**African citizens only** Honours/Masters in South Africa; intensive leadership development programme,Online application,3–7,According to call,According to call,~100/year,,Only citizens of African countries,—,yes,By major at South African universities,Bachelor's degree (or equivalent),Not stated,Very high achievement; leadership; community service,Leadership experience/activities,Mandela Values,By duration,Application + references + multi-round interviews,Online → MRF review,https://www.mandelarhodes.org/scholarship/apply/,Not applicable to Vietnam,yes,,,,
Emile Boutmy Scholarship (Master – Sciences Po),Sciences Po,University,"€13,100–€27,000 (full 2-year course)",For **non-EU students**; based on application; proof of funds/motivation required,Application form with application documents (no separate form),10–2,According to cycle Sciences Po,According to cycle Sciences Po,Many seats/year,yes,Non-EU/EEA citizens (including Vietnam),—,,All Masters are eligible,Bachelor's degree (or equivalent),Not stated,Excellent academics; strong profile,—,Academics & Motivation,According to the regulations,Admissions Form + Boutmy Review Section,Sciences Po reviews and announces,https://www.sciencespo.fr/admissions/en/fees-funding/bursaries/emile-boutmy-scholarship.html,Other values ​​for 1 year/2 years,yes,,,,
Amsterdam Excellence Scholarship (AES),University of Amsterdam (UvA),University,"**€25,000/year** (full: tuition + living expenses)",For **non-EU/EEA** Masters at UvA; extremely competitive; often requires a very high GPA,Apply online through the department/program,11–1,By department,By department,Few,yes,Non-EU/EEA,—,Limited,According to the qualifying Master's program,Bachelor's degree (or equivalent),Not stated,Top profile; strong recommendation letter,—,Academic excellence; leadership (if required),According to the regulations,Application + essay + referees,Apply through faculty → review,https://www.uva.nl/en/education/master-s/amsterdam-excellence-scholarship/amsterdam-excellence-scholarship.html,Very few seats,yes,,,,
TU Delft Excellence Scholarships (Justus & Louise van Effen),TU Delft,University,"Full tuition + **€30,000/year** (living expenses) – reference level",For international Master's students at TU Delft; **early submission required (usually 1/12–15/12)**; strong portfolio,Online application + upload scholarship application,10–12,According to TU Delft,According to TU Delft,~30–40/year (reference),yes,Any non-EU/EEA nationalities (preferred),—,yes,According to the MScs of TU Delft,Bachelor's degree (or equivalent),Not stated,Very high GPA/entrance score; strong letters of recommendation,—,Academic excellence; innovation potential,By duration,Application + motivation + 2 referees,Submit on TU Delft portal,https://www.tudelft.nl/en/education/practical-matters/scholarships/justus-louise-van-effen-excellence-scholarships,Early deadline,yes,,,,
Allan & Nesta Ferguson Masters Scholarships (Sheffield),University of Sheffield & Allan & Nesta Ferguson Charitable Trust,University,Full tuition + stipend (annual rate),For nationals of developing countries studying **designated Masters courses** in Sheffield; limited places available,Online application (after offer),1–4,According to call,According to call,Few,yes,Citizens of developing countries (including Vietnam),Designated country/course directory,Limited,According to Ferguson course catalog (changes every year),Bachelor's degree + work experience (African subjects; according to JICA/AfDB),Not stated,Unconditional/conditional offer + strong essay,Development experience (preferred),Academics & Social Impact,According to the regulations,Application + essay + documents,Apply via Sheffield portal,https://www.sheffield.ac.uk/international/fees-and-funding/scholarships/postgraduate-taught/ferguson,Check eligible keys annually,yes,,,,
, ,, , , , , , , , , , , , ,Bachelor's degree (or equivalent), , , , , , , , , , ,,,,
Eric Bleumink Fund Scholarship (Groningen),University of Groningen,University,Full (tuition + living expenses),The EBF funds applicants from least developed countries as listed by the school; details of the grant levels are not made public.,Nominated by school (not self-submitted),Unknown,Unknown,Unknown,Unknown,yes,Applicants from low-income/least developed countries,According to EBF orientation,No restrictions on majors in the school's MSc programs,Eligible Masters Degrees at UG,Bachelor's degree (or equivalent),Not stated,Not stated,Not stated,Outstanding academic achievement; motivation to contribute to the nation,Program duration may be extended if academic requirements are met.,"Provisional/official admission letter, personal profile (no details)",Nominated by the school after receiving an invitation letter; no direct applications accepted,https://www.rug.nl/alumni/support-research-and-education/scholarships-and-awards/eric-bleumink-fund/applying-for-a-grant?lang=en,School-run program; no open application required.,yes,,,,
Friedrich Ebert Stiftung Scholarships,Friedrich-Ebert-Stiftung,Foundation / Organization,Monthly living allowance + insurance; exemption/support of tuition fees as prescribed,"≈934€ (student) / 1,200€ (postgraduate) + family allowance, insurance reimbursement; conditions apply",Self-submit online,Unknown,Unknown,Unknown,Unknown,yes,Must study at a public/recognized German educational institution,Not stated,Unlimited breadth (all industries),All eligible majors at schools in Germany,Bachelor's degree (or equivalent),Not stated,Not stated,Not stated,Social/democratic commitment; good academic performance,Renewal based on satisfactory academic progress,Online application according to FES instructions,Register at FES site; pass the selection round,https://www.fes.de/studienfoerderung/information-in-english,Strong in social engagement,yes,,,,
Fundación Carolina Scholarships,Carolina Fundación,Foundation / Organization,Tuition (full/partial) + living allowance (depending on program),Many master's/PhD programs; only available to Ibero–American & Portuguese citizens,Submit via FC portal,Usually open late last year/early this year,Unknown,Unknown,~735 seats (all types) in 2025,,Citizens of the Ibero–American & Portuguese Community,Ibero–American/Portugal passports,By program,By program,Bachelor's degree (or equivalent),Not stated,Not stated,Not stated,Academic achievement; specific conditions for each scholarship,According to the program term,Online application via FC portal,"Register an account, select a program, apply online",https://www.fundacioncarolina.es/,Not open to Vietnamese applicants,yes,,,,
Scotland Saltire Scholarship,Scottish Government,Government,Partial scholarship (formerly),"Program coordinated by the Scottish Government and Scottish Universities; priority areas include science, technology, health, and innovation.",Submit by yourself when notified.,Unknown,Unknown,Unknown,Unknown,Yes (when the program is open),Aiming to study MSc at Scottish Universities,By priority area,"Science, technology, creative industries, medicine & biomedical sciences",Bachelor's degree (for MSc),Bachelor's degree (or equivalent),Not stated,Not stated,"Motivation to study, achievements; recommendation letters",Not stated,Online application according to annual announcement,As per Scottish Government/partner guidance,https://www.gov.scot/policies/universities/university-internationalisation/,"The program is on hold, follow the government page",Unknown, ,,,,
King Fahd University Scholarship (KFUPM),King Fahd University of Petroleum & Minerals (KFUPM),University,Full,"Free tuition, books, health insurance, accommodation, monthly stipend; RA/project opportunities; workshop support (conditions apply)",Self-submit online,Unknown,Unknown,Unknown,Unknown,yes,Candidates for MSc/PhD at KFUPM,Not stated,According to the KFUPM postgraduate program,Bachelor's degree (MSc) / Master's degree (PhD),Bachelor's degree (or equivalent),Not stated,Not stated,Strong academic record; English required,According to learning progress & results,"Transcripts, English certificates, CVs, recommendation letters…",Register via CGIS KFUPM portal,https://cgis.kfupm.edu.sa/admission/kfupm-scholarship,Mainly applied for graduate school,yes, ,,,,
Qatar University Graduate Scholarships,Qatar University,University,Diverse (tuition-free/subsidized),Competitive/non-competitive/other scholarships offered by QU; conditions vary by type,Self-submit online,Unknown,Unknown,Unknown,Unknown,yes,According to QU scholarship type,Not stated,According to QU's postgraduate program,Bachelor's degree (MSc) / Master's degree (PhD),Bachelor's degree (or equivalent),Not stated,Not stated,Academic achievement; criteria for each category,According to the regulations of each type of scholarship,Online profile according to each type's requirements,Apply through QU scholarship portal,https://www.qu.edu.qa/en-us/students/admission/scholarships,Check each specific scholarship,yes, ,,,,
Open Doors Russian Scholarship (Global Universities),Association of Global Universities (supported by the Ministry of Science and Education of the Russian Federation),Government,Tuition exemption + government support (depending on the year),Online entrance exam/olympiad; winners are admitted without exam and tuition is paid by the state; has a BA/MSc/PhD track (depending on the season),Online test/assessment (self-registration),Usually at the end of the year,Unknown,Unknown,Unknown,yes,Globally Open (nationality eligibility by year),Not stated,According to the subject area announced by the competition,High School (for UG) / Bachelor's (for MSc),Bachelor's degree (or equivalent),Not stated,Not stated,Achievement profile + online test/assessment,According to the admission regulations of the admitted school,"Register an account, submit portfolio, take round 2 exam",https://od.globaluni.ru/,Follow the recruitment announcement every year,yes, , ,,,,
Mauritius Government (Africa) Scholarship,Government of Mauritius,Government,Full/partial (depending on level),Tuition support; some living/travel allowance; available to citizens of African countries (and eligible countries),Through national nominating agency/Embassy,Usually Q1–Q2,Unknown,Unknown,Not stated,No (main target is Africa),AU or eligible country citizens as per notification,Not stated,By major at public universities in Mauritius,High School (UG) / Bachelor (MSc),Bachelor's degree (or equivalent),Not stated,Not stated,Academic achievement; health condition/age by grade,According to the required learning progress,"Application forms, transcripts, passport documents…",Submit through the nominating agency + Mauritius Ministry of Education portal,https://education.govmu.org/Pages/Mauritius-Africa-Scholarships-Scheme-2025.aspx,Common Name: Mauritius–Africa Scholarship Scheme,yes, ,,,,
Wellcome International Masters Fellowships,Wellcome,Foundation / Organization,Grants & Tuition (formerly),**Closed** Programme; previously supported candidates from LMIC to undertake a MSc + research project,— (closed),—,—,—,—,yes,LMIC citizens,Medical/ biomedical/ public health (depending on the round),"Public health, tropical medicine… (depending on the period)",Relevant bachelor's degree,Bachelor's degree (or equivalent),Not stated,Not stated,Research achievements/KH leadership potential,—,—,—,https://wellcome.org/research-funding/schemes/international-masters-fellowships-closed,Currently **no longer open**,, ,,,,
Obama Foundation Scholars Program,Obama Foundation (in collaboration with Columbia University),Foundation / Organization,Full-time during academic residency,"Tuition for up to 4 credits, monthly living allowance, furnished apartment near campus, insurance, professional activities",Self-submit online,Unknown,Unknown,Unknown,~10–15 (depending on the year),yes,Young leaders with social impact,Not stated,Multi-disciplinary social/policy,Bachelor's degree (academic background required),Bachelor's degree (or equivalent),Not stated,Leadership experience/community impact,"Leadership achievements, commitment to public service","By course (9 months), no extension","Online profile, essays, letters of recommendation",Submit on Columbia World Projects portal,https://www.obama.org/programs/scholars/columbia-university/,9-month academic residency program,yes, ,,,,
Shanghai Government Scholarship,Shanghai Municipal Government,Government,Full/partial,"Class A (MSc/PhD): tuition, health insurance, dormitory, monthly allowance; Class B: tuition + health insurance",Self-submit via online portal,Usually Q1–Q2,Unknown,Unknown,Not stated,yes,Foreigners with age/education requirements,Not stated,According to the program at universities in Shanghai,High school/ Bachelor's/ Master's (depending on level),Bachelor's degree (or equivalent),Not stated,Not stated,Meet academic & health requirements; age by grade,According to program duration & results,Online application according to school/SGS instructions,Register on Apply Shanghai portal/school portal,https://english.shanghai.gov.cn/en-ApplyforScholarships/index.html,There are many participating schools; read the individual school guidelines.,yes, ,,,,
Japan Africa Dream Scholarship (JADS),African Development Bank & Government of Japan (JICA),Government,Full-time (2 years MSc),"Tuition fees, living allowance, airfare, insurance…; only for citizens of AfDB member countries",Self-apply + need invitation/admission letter from partner school,Unknown,Unknown,Unknown,,Citizens of AfDB member countries ≤35 years old,"Limit by development sector (energy, infrastructure…)","Energy, agriculture, health, environment…",Relevant bachelor's degree,Not stated,Bachelor's degree (or equivalent),≥1 year paid experience,Academic achievement + commitment to return to service,According to the program duration (2 years),Online application + school invitation letter,Submit as per AfDB/JADS guidelines & receiving school,https://www.afdb.org/en/about-us/careers/japan-africa-dream-scholarship-jads-program,For African citizens only AfDB members,yes, , ,,,,
Pan African University Scholarship,African Union – Pan African University,Government,Full,"Tuition, accommodation, living expenses; health insurance from the allowance",Self-submit via PAU platform,Usually Q1–Q2,Unknown,Unknown,Not stated,,African citizens only,"By institute (STEM, Social Sciences, Management…)",By PAU Institute/Program,Relevant bachelor's degree,Bachelor's degree (or equivalent),Not stated,Not stated,"Academic achievement, leadership potential",According to the required learning progress,Online application according to PAU instructions,Register on PAU recruitment portal,https://pau-au.africa/admissions/scholarships,For African citizens only,yes, ,,,,
Skoltech Master's Scholarship,Skolkovo Institute of Science and Technology (Skoltech),University,Full + monthly allowance,"100% tuition fee exemption; allowance ~40,000–55,000 RUB/month (MSc); health insurance; specialized scholarships available based on nationality/agreement",Self-submit online,Unknown,Unknown,Unknown,Unknown,yes,Applicants meet admission and English requirements,Not stated,MSc majors at Skoltech (STEM),Relevant bachelor's degree,Bachelor's degree (or equivalent),Not stated,Not stated,Strong academic record; English; interview/subject test,Renewal based on academic performance,"Online profile, transcript, English, CV, letter…",Register on Skoltech Admissions portal,https://student.skoltech.ru/,Specific stipends vary by year/program.,yes, ,,,,
UNIL Master's Grants (Lausanne),University of Lausanne (UNIL),University,Living allowance,"CHF 1,600/month (10 months/year) for the standard duration of the program; free fixed enrollment fee (still a small administrative fee)",Submit your scholarship application along with your admission application.,Open around 9–11,Unknown,November 1 (annual),~10 seats/year,yes,"Not applicable to some majors (Medicine, Education, some majors of Law/Physical/Health Sciences, MAS…)",According to UNIL eligibility list,Bachelor's degree (outside Switzerland),Not stated,Bachelor's degree (or equivalent),Not stated,Excellent academic performance; language proficiency,According to learning progress & results,Paper/online application according to UNIL instructions,Submit before deadline; competitive admission,https://www.scholars4dev.com/6578/switzerland-university-lausanne-scholarships-for-international-students/,UNIL official site blocked by robots via tool; refer to public description,yes, , ,,,,
University of Geneva Excellence Master Fellowships,University of Geneva – Faculty of Science,University,"Subsidy 10,000–15,000 CHF/year","1 year grant, can be extended until the end of the official program duration if the first semester results meet the requirements",Self-submit with/after Master's application,Unknown,Unknown,Unknown,Not stated,yes,Master of Science Candidate (Faculty of Science),Natural Sciences/Math/CS… according to the faculty list,MSc programs at the Faculty of Science,Relevant bachelor's degree,Bachelor's degree (or equivalent),Top ~10% (recommended),Not stated,Very high academic achievement,Renewal if requirements are met after semester 1,Online application according to faculty instructions,Apply via Faculty of Science UNIGE website,https://www.unige.ch/sciences/en/enseignements/formations/masters/excellencemasterfellowships,Specify 10–15k CHF/year,yes, ,,,,
KAAD Scholarship (Catholic Academic Exchange Service),KAAD (Catholic Academic Exchange Service),Foundation / Organization,Scholarship grants + study support,For applicants from developing countries; preference given to Christians/Catholics (applicants of other religions may be nominated),Combined nomination + self-submission (depending on the program),Unknown,Unknown,Unknown,Not stated,yes,Developing country citizens; Church network/partnership contact required,Not stated,According to the field you plan to study in Germany,Bachelor's degree (to MSc) / relevant degree,Bachelor's degree (or equivalent),Not stated,Not stated,Academic achievement; social/church commitment; German/English,According to the program progress,Application via KAAD portal and/or partners,According to KAAD's “Programme 1/2/EE” guide,https://www.kaad.de/en/stipendien,There are many different “programs”,yes, ,,,,
JFUNU Scholarship (UN University,Japan),Government,Fund / Organization,"Allowance of 120,000 JPY/month; tuition fee exemption possible",Up to 24 months for MSc in Sustainability; airfare/visa/insurance not included,Self-submission with UNU-IAS master's application,Unknown,Unknown,Unknown,Not stated,yes,Applicants from developing countries need financial assistance,Not stated,MSc in Sustainability (UNU-IAS),Bachelor's degree (or equivalent),Not stated,Not stated,Not stated,Academic achievement; financial need,According to program duration,MSc application + scholarship form according to UNU-IAS guidelines,Apply online via UNU-IAS,https://unu.edu/ias/msc-scholarships,The subsidy level is clearly stated on the UNU website.,yes,,,,
Malaysia International Scholarship (MIS),Ministry of Higher Education Malaysia,Government,Tuition support + allowance (depending on announcement period),Postgraduate scholarships for international applicants according to MOHE criteria; annual announcement schedule,Self-submit online,Usually Q2–Q4 (depending on the year),Unknown,According to annual announcement,Not stated,yes,International applicants (non-Malaysian citizens),Not stated,Eligible majors at Malaysian universities,Bachelor's degree (for MSc),Bachelor's degree (or equivalent),Not stated,Not stated,Academic achievement; English; MOHE requirements,According to MOHE regulations,Online application via MIS portal,Register on MOHE portal,https://biasiswa.mohe.gov.my/INTER/index.php,Check the opening batch: sometimes at the end of the year,yes, ,,,,
Kazakhstan Government Scholarships,Ministry of Science and Higher Education (Republic of Kazakhstan),Government,Tuition + monthly allowance,"Recent quota: ~490 (BA), 50 (MSc), 10 (PhD) for international applicants; apply online",Self-submit online,Usually Q2,Unknown,Unknown,State the annual target,yes,Foreign nationals (including stateless Kazakhs),Not stated,According to the program at Kazakhstan University,High School (UG) / Bachelor (MSc),Bachelor's degree (or equivalent),Not stated,Not stated,Academic achievement according to school threshold,According to learning progress,Online application according to the instructions of the National Center for Higher Education Development,Submit on MSHE RK central portal,https://enic-kazakhstan.edu.kz/en/post/231,Distinguished from Bolashak (for citizens of Kazakhstan),yes, ,,,,
Moroccan Government Scholarships,Agence Marocaine de Coopération Internationale (AMCI),Government,Tuition/living support (depending on program & bilateral agreement),For international students through bilateral cooperation channels; submit through nominating agency/Embassy,Through nominating agency/Embassy/AMCI,Usually Q2–Q3,Unknown,Unknown,Not stated,Yes (subject to bilateral agreement),According to quota/agreement between Morocco & applicant country,Not stated,According to the program at the Morocco campus,High School (UG) / Bachelor (MSc),Bachelor's degree + professional experience (as required for ESMT MBA),Not stated,Not stated,Academic achievement; diplomatic procedures,According to AMCI schedule & regulations,AMCI form + documents through national agency,Submit through diplomatic channels + AMCI,https://www.amci.ma/,See also the AMCI “Copération académique” page,yes, ,,,,
KAIST International Student Scholarship,KAIST (Korea Advanced Institute of Science and Technology),University,Tuition exemption; living allowance; health insurance (specific levels by level/program),Applies to international students; academic progress required to maintain; details by school/faculty,Self-apply with KAIST admissions,Unknown,Unknown,Unknown,Not stated,yes,International students admitted to KAIST,Not stated,Majors available at KAIST,STEM and majors at KAIST,Bachelor's degree + work experience (MBA program requirement),Not stated,Not stated,Not stated,Academic achievement; foreign language proficiency as required,According to the semester learning results,Admission application + scholarship section as per instructions,Apply through KAIST admissions portal,https://www.kaist.ac.kr/en/html/edu/03100502.html,Specific policies/levels vary by unit; check each level of education.,yes,,,,
POSCO TJ Park (Asian Fellowship at SNU),POSCO TJ Park Foundation (POSCO Asia Fellowship),Foundation / Organization,Tuition and living support (state full tuition and living on documents/press),For Asian citizens studying MSc/PhD at Korean universities (with SNU in the list of schools),Nomination by receiving school + submission through POSCO,Unknown,Unknown,Unknown,≈20–50/year (varies by year),yes,Asian citizens studying MSc/PhD in Korea,Asia,According to the major in Korean schools accepted,All majors are eligible at the receiving school,Bachelor's degree (or equivalent),Not stated,Not stated,Not stated,Academic achievement/leadership potential,According to learning progress,"Transcripts, letters of recommendation, confirmation of admission...",Nominating school/candidate submits according to fund guidelines,https://www.postf.org/en/asia/abroad/business,Common name: POSCO Asia Fellowship (study in Korea); has fellows studying at SNU,yes,,,,
Chulabhorn Graduate Institute Scholarship,Chulabhorn Graduate Institute (CGI),University,"Full (previously announced: tuition, airfare, living expenses, insurance…)",Usually includes 6 weeks of review + 2 years of MSc at CGI; quota is limited by year,Submit by yourself via CGI (according to form/app instructions),Unknown,Unknown,Unknown,~10–15 (depending on the year),yes,International applicants (except Thai citizens),Not stated,"Environmental science, toxicology, applied chemistry…",Applied Biological Sciences–Environmental Health; Environmental Toxicology; Chemical Sciences,Bachelor's degree (or equivalent),Not stated,Not stated,Not stated,Academic achievement; English; health,According to program duration,"CGI application, transcripts, English, medical…",According to CGI admissions guidelines,https://www.cgi.ac.th/,Details of the opening of CGI's annual notice,yes,,,,
AIT King's & Queen's Scholarships (Thailand),Royal Thai Government via Asian Institute of Technology (AIT),Government,Full,"Free tuition, registration fee, accommodation, living allowance during the program",Self-submit online via AIT,Usually Q1–Q2,Unknown,Unknown,Not stated,yes,Citizens of Asian countries (and eligible by year),Asia,MSc/PhD majors at AIT,"Majors at AIT (Engineering, IT, Management, Environment...)",Bachelor's degree (or equivalent),Not stated,Not stated,Not stated,Excellent academic record; English,According to learning progress,Online application according to AIT,Apply through the AIT Scholarships portal,https://ait.ac.th/financial/royal-thai-government-scholarships/,Other Name: Royal Thai Government Scholarships (King/Queen),yes,,,,
OAS Academic Scholarships,Organization of American States (OAS),Government,"Up to ~US$10,000/year (depending on type & country)",For full-time study at a university in an OAS member country other than the sponsoring country; online/blended support available,Self-submit online,Usually Q1–Q2,Unknown,Unknown,Not stated,Yes (if eligible for citizenship or residence as per call),Citizenship/valid residence status in an OAS member country,OAS member countries,Last 2 years of Bachelor's degree (limited) / Master's degree / PhD,High school/Bachelor's degree depending on level,Bachelor's degree (or equivalent),Not stated,Not stated,Academic ability; host country conditions,By type of scholarship,OAS online application,Submit via OAS portal + local regulations,https://www.oas.org/en/scholarships/,UG only applies to the last 2 years & is limited to the region,yes, ,,,,
Rosa-Luxemburg-Stiftung Scholarships,Rosa-Luxemburg-Stiftung (Germany),Foundation / Organization,Living allowance; other support as prescribed,Support for international Master's and PhD students studying/researching in Germany; emphasizes social-democratic commitment,Self-submit online,Mid-year,Between 8,October 1 (depending on the year),Not stated,yes,International students in Germany,—,All fields (priority given to Social Sciences and Humanities),Majors at public/accredited educational institutions,Bachelor's degree + work experience (candidates currently working/sent by the agency),Not stated,Not stated,Not stated,"Social commitment, academic achievement",According to learning progress,Online profile according to RLS,Submit via RLS portal,https://www.rosalux.de/en/foundation/studienwerk/scholarships,There is a clear annual recruitment schedule and deadline.,yes,,,,
Confucius Institute Scholarship (International Chinese Language Teachers Scholarship),Center for Language Education and Cooperation (chinese.cn),Government,Tuition + living expenses (depending on category),International Chinese Teacher Training Scholarship; apply via cis.chinese.cn and host school,Self-apply via cis.chinese.cn + choose school,Usually 2–3,From about 2–3,According to each announcement,Not stated,yes,International applicants (non-Chinese citizens),—,Chinese language programs/Chinese language teaching,Chinese Language & Culture; Chinese language pedagogy…,Bachelor's degree (or equivalent),Not stated,Not stated,Not stated,HSK/HSKK by level; academic records,According to program regulations,Online application + host school selection,Submit on cis.chinese.cn and host school,http://cis.chinese.cn/,Current name: International Chinese Language Teachers Scholarship,yes,,,,
Czech Government Scholarships,Ministry of Education,Government,Government,Full/partial (depending on level and agreement),Support for citizens of developing countries under development cooperation; submit through nominating agency,Through national nominating agency + online system,Usually Q2–Q3,Unknown,30/09/2025 (for 2026/27),Not stated,Yes (if Vietnam is subject to the agreement/specific year),List of countries by announcement,According to the agreement,By major at CZ public university,Bachelor's degree (or equivalent),Not stated,Not stated,Not stated,Academic achievement; country nomination criteria,According to learning progress,Profile according to MSMT instructions,Submit online + through nominating agency,https://msmt.gov.cz/eu-and-international-affairs/government-scholarships-developing-countries,Check the list of eligible countries by year,yes,,,,
Polish Government Scholarships (NAWA – Banach),NAWA (Polish National Agency for Academic Exchange),Government,Tuition waiver + monthly allowance (level based on call),Support for citizens of developing countries to study MSc in Poland (PL/EN),Self-submit online via NAWA,Usually Q2,Unknown,According to annual call,Have annual targets,yes,Citizens of developing countries (list by call),According to the priority industry list,"Engineering, agriculture, natural sciences, life…",Bachelor's degree,Bachelor's degree (or equivalent),Not stated,Not stated,Academic achievements; foreign languages,According to NAWA regulations,Online application via NAWA,Submit on NAWA portal,https://nawa.gov.pl/en/students/foreign-students/the-banach-scholarship-programme,Full name: Stefan Banach Scholarship Programme,yes, ,,,,
Latvian Government Scholarships,VIAA (State Education Development Agency,Government,Government,Monthly allowance (call level),For citizens of countries with agreements/reciprocity; studying at the University of Latvia,Self-submit online via VIAA,Usually Q1–Q2,Unknown,According to call,Not stated,Yes (if Vietnam is on the list that year),Citizens of countries on the eligible list,According to call,According to the program at the University of Latvia,Bachelor's degree (or equivalent),Not stated,Not stated,Not stated,Academic achievement; matching criteria,According to learning progress,Online application via VIAA,Submit on VIAA portal,https://www.viaa.gov.lv/en/latvian-state-scholarships,See also the Study in Latvia page,yes,,,,
Estonian Government Scholarships,Education and Youth Board (HARNO) / Study in Estonia,Government,Grants for MSc/PhD; some UG related to Estonian language/culture,Support international students to study full-time in Estonia (by call),Self-submission (through HARNO/unit),Usually Q1–Q2,Unknown,According to call,Not stated,yes,International students (conditions according to call),—,According to the program at the University of Estonia,High school/ Bachelor's/ Master's degree depending on level,Bachelor's degree (or equivalent),Not stated,Not stated,Academic achievements; foreign languages,According to the regulations,Profile according to HARNO/DH instructions,Submit according to annual instructions,https://harno.ee/en/scholarships-and-grants/scholarships-studying-and-working-estonia/scholarships-international,Read the Study in Estonia page carefully for options.,yes, ,,,,
Kofi Annan MBA Fellowship (ESMT Berlin),ESMT Berlin,University,Full MBA tuition + living allowance (rates/conditions updated annually),The ESMT site currently describes the scholarship as being aimed at applicants residing in Nigeria (range varies from year to year),Self-submit via ESMT,Unknown,Unknown,Unknown,Very few seats,yes,Restricted by nationality/region (currently states Nigeria),Nigeria (as of current page),MBA (Saïd/ESMT depending on program),Bachelor's degree + experience,Bachelor's degree (or equivalent),Not stated,Leadership experience/social contribution,"Leadership, outstanding professional achievements",By course,ESMT online profile,Submit on ESMT portal,https://esmt.berlin/mba-programs/full-time-mba/tuition-financing/scholarships,Nationality ranges may change from year to year; check again.,yes, ,,,,
